smiles,label,zinc_id
CCc1ccc(cc1)Nc1[n]c2ccccc2o1,0,ZINC000032686273
C[C@H]1NCCO[C@@H]1c1ccccc1,1,ZINC000000000609
O=C1NC(=O)c2c1c1c[n]c[n]1c1[nH]c3ccccc3c12,0,ZINC000014559870
Cc1[n]c(CCCC)c(Cc2ccc(cc2)-c2ccccc2-c2[nH][n][n][n]2)c(=O)[n]1Cc1[s]ccc1C(=O)OC,1,ZINC000001539347
COc1c(c(F)cc2c1[n](cc(C(O)=O)c2=O)[C@@H]1C[C@@H]1F)N1CC2(CC2)[C@H](N)C1,1,ZINC000003955213
Nc1[nH]c(=O)c2[n]c[n]([C@@H]3O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)CP(O)(O)=O)[C@H](O)[C@H]3O)c2[n]1,0,ZINC000053684075
COC[C@@H](NCC(O)=O)C(=O)NCc1ccc(O)cc1,1,ZINC000095618890
COc1ccc(C[C@H]2CNC(=O)N2)cc1OCCCC,0,ZINC000002011307
Cc1o[n]c(-c2ccc(F)cc2)c1COc1ccc(c[n]1)C(=O)N1CCS(=O)(=O)CC1,1,ZINC000145814743
Cc1ccc2ccc(cc2[n]1)-c1cc(COC)ccc1,0,ZINC000028823054
Cc1ccc(cc1)SC1=CC(=O)c2ccccc2C1=O,0,ZINC000040977319
COc1ccc(cc1)S(=O)(=O)N1CCC[C@](O)(CC1)c1ccccc1,0,ZINC000043121557
OC(=O)CC[C@H](CCc1ccccc1)NC(=O)CCCCCCc1ccccc1,0,ZINC000012503685
COCCNC(=O)C[C@@H]1C[C@@H]2[C@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]2(C)C1=O,0,ZINC000299870083
NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1F,0,ZINC000003591127
NCSCC[C@@H](CCCCC(O)=O)SSCCO,0,ZINC000005975464
C[n]1c(=O)c2c([n]c[n]2CC=C)[n](C)c1=O,0,ZINC000000367972
CCCCCCC(C)(C)c1cc(O)c(cc1)-c1ccc(N)cc1,0,ZINC000028822129
